"created_at","entity_type","objectLabel","objectMarking","observable_value","updated_at","value","x_opencti_description","x_opencti_score"
"2024-12-07T00:34:13.682Z","Url","","TLP:CLEAR","http://37.1.214.137/Linuxdefault/Testpoll5/Generator/Proton/0javascript1/WpSecure/Centraleternalvoiddbasync/Requestlinuxflower/Voiddb/TopacketApiprotectbaseLinuxLocalpublicDownloads","2024-12-07T00:34:13.726Z","http://37.1.214.137/Linuxdefault/Testpoll5/Generator/Proton/0javascript1/WpSecure/Centraleternalvoiddbasync/Requestlinuxflower/Voiddb/TopacketApiprotectbaseLinuxLocalpublicDownloads","Anyrun Malware Trends",""
"2024-12-07T00:34:13.726Z","Url","","TLP:CLEAR","http://f1059060.xsph.ru/L1nc0In","2024-12-07T00:34:13.876Z","http://f1059060.xsph.ru/L1nc0In","Anyrun Malware Trends",""
"2024-12-07T00:47:42.294Z","Url","phishing","TLP:CLEAR","http://defeitteigepo-4016.vercel.app/mixc.html","2024-12-07T00:47:42.394Z","http://defeitteigepo-4016.vercel.app/mixc.html","OpenPhish URL",""
"2024-12-07T00:47:42.295Z","Url","phishing","TLP:CLEAR","http://druvtpg.github.io/Amazon-Clone","2024-12-07T00:47:42.438Z","http://druvtpg.github.io/Amazon-Clone","OpenPhish URL",""
"2024-12-07T00:47:42.999Z","Url","phishing","TLP:CLEAR","http://misraafebi.github.io/fb","2024-12-07T00:47:43.044Z","http://misraafebi.github.io/fb","OpenPhish URL",""
"2024-12-07T00:47:43.819Z","Url","phishing","TLP:CLEAR","http://sites.google.com/view/daedsjuetd/accueil","2024-12-07T00:47:43.901Z","http://sites.google.com/view/daedsjuetd/accueil","OpenPhish URL",""
"2024-12-07T00:47:43.841Z","Url","phishing","TLP:CLEAR","http://zetriyauffivou-1144.vercel.app/mixc.html","2024-12-07T00:47:43.919Z","http://zetriyauffivou-1144.vercel.app/mixc.html","OpenPhish URL",""
"2024-12-07T00:47:44.540Z","Url","phishing","TLP:CLEAR","http://samruddhidhore.github.io/bharatintern1","2024-12-07T00:47:44.610Z","http://samruddhidhore.github.io/bharatintern1","OpenPhish URL",""
"2024-12-07T00:47:45.189Z","Url","phishing","TLP:CLEAR","http://s1.hkcjsg007.workers.dev/","2024-12-07T00:47:45.212Z","http://s1.hkcjsg007.workers.dev/","OpenPhish URL",""
"2024-12-07T00:47:45.189Z","Url","phishing","TLP:CLEAR","http://help--walletconnect.gitbook.io/en-us","2024-12-07T00:47:45.267Z","http://help--walletconnect.gitbook.io/en-us","OpenPhish URL",""
"2024-12-07T00:47:45.860Z","Url","phishing","TLP:CLEAR","http://krishna-modi03.github.io/Netflix-Clone","2024-12-07T00:47:45.918Z","http://krishna-modi03.github.io/Netflix-Clone","OpenPhish URL",""
"2024-12-07T00:47:46.445Z","Url","phishing","TLP:CLEAR","http://chaurasiya-sachin.github.io/netflix-clone","2024-12-07T00:47:46.555Z","http://chaurasiya-sachin.github.io/netflix-clone","OpenPhish URL",""
"2024-12-07T00:47:46.449Z","Url","phishing","TLP:CLEAR","http://quick-bear-many.on-fleek.app/iwmnquoqcsro1.html","2024-12-07T00:47:46.555Z","http://quick-bear-many.on-fleek.app/iwmnquoqcsro1.html","OpenPhish URL",""
"2024-12-07T00:47:47.100Z","Url","phishing","TLP:CLEAR","http://mohitudya.github.io/NetflixDemo","2024-12-07T00:47:47.123Z","http://mohitudya.github.io/NetflixDemo","OpenPhish URL",""
"2024-12-07T00:47:47.130Z","Url","phishing","TLP:CLEAR","http://aysenuryuksel.github.io/Netflix-clone","2024-12-07T00:47:47.181Z","http://aysenuryuksel.github.io/Netflix-clone","OpenPhish URL",""
"2024-12-07T00:47:47.137Z","Url","phishing","TLP:CLEAR","http://requesting-for-reviewing.github.io/submit/index2.html","2024-12-07T00:47:47.340Z","http://requesting-for-reviewing.github.io/submit/index2.html","OpenPhish URL",""
"2024-12-07T00:47:48.008Z","Url","phishing","TLP:CLEAR","http://chainblocksolution.pages.dev/","2024-12-07T00:47:48.195Z","http://chainblocksolution.pages.dev/","OpenPhish URL",""
"2024-12-07T00:47:48.090Z","Url","phishing","TLP:CLEAR","http://arpit01goel.github.io/Netflix_clone","2024-12-07T00:47:48.280Z","http://arpit01goel.github.io/Netflix_clone","OpenPhish URL",""
